#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-08T03:28:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8d44aaa608	
#INFO	-out.max=1000	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&key:c=17:40:42.6174 -53:40:27.448&pos:17:40:42.6174 -53:40:27.448( 1 arcmin J2000)&HTTPPRM:&-c=17:40:42.6174 -53:40:27.448&-c.u=arcmin&-c.r=1&-c.eq=J2000&-c.geom=r&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c=17:40:42.6174 -53:40:27.448
#-c.eq=J2000
#-c.r=  1
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Dup
#-out=FG
#-out=e_FG
#-out=Gmag
#-out=e_Gmag
#-out=FBP
#-out=e_FBP
#-out=BPmag
#-out=e_BPmag
#-out=FRP
#-out=e_FRP
#-out=RPmag
#-out=e_RPmag
#-out=BP-RP
#-out=RV
#-out=e_RV
#-out=Teff
#-out=AG
#-out=E(BP-RP)
#-out=Rad
#-out=Lum
#
#INFO	-c=265.177572-53.674291,rm=1.	
#Constraint -bmark=POST

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_r	(F6.4)	Distance from center (265.17757250000-53.67429111111)[ICRS], at Epoch=J2015.5	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Dup	(I1)	[0/1] Source with duplicate sources (duplicated_source) (21)	[ucd=meta.code.status]
#Column	FG	(E11.4)	G-band mean flux (phot_g_mean_flux)	[ucd=phot.flux;stat.mean;em.opt]
#Column	e_FG	(E11.4)	Error on G-band mean flux (phot_g_mean_flux_error)	[ucd=stat.error;phot.flux;stat.mean]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	FBP	(E11.4)	? Mean flux in the integrated BP band (phot_bp_mean_flux)	[ucd=phot.flux;stat.mean;em.opt.B]
#Column	e_FBP	(E11.4)	? Error on the integrated BP mean flux (phot_bp_mean_flux_error) (25)	[ucd=stat.error;phot.flux;stat.mean]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	e_BPmag	(F6.4)	? Standard error of BP mean magnitude (Vega) (added by CDS) (phot_bp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	FRP	(E11.4)	? Mean flux in the integrated RP band (phot_rp_mean_flux)	[ucd=phot.flux.density;em.opt.R]
#Column	e_FRP	(E11.4)	? Error on the integrated RP mean flux (phot_rp_mean_flux_error) (28)	[ucd=stat.error;phot.flux;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	e_RPmag	(F6.4)	? Standard error of RP mean magnitude (Vega) (added by CDS) (phot_rp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BP-RP	(F7.4)	? BP-RP colour (photBpMeanMag-photRMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
#Column	Teff	(F7.2)	? Stellar effective temperature (estimate from Apsis-Priam) (teff_val)	[ucd=phys.temperature.effective]
#Column	AG	(F7.4)	? Estimate of extinction in the G band from Apsis-Priam (a_g_val)	[ucd=phys.absorption.gal]
#Column	E(BP-RP)	(F7.4)	? Estimate of redenning E(BP-RP) from Apsis-Priam (e_bp_min_rp_val)	[ucd=phot.color.excess]
#Column	Rad	(F6.2)	? Estimate of radius from Apsis-FLAME (radius_val)	[ucd=phys.size.radius]
#Column	Lum	(F9.3)	? Esimate of luminosity from Apsis-FLAME (lum_val)	[ucd=phys.luminosity]
_r	_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
0.5361	265.1882488291160	-53.6805102767032	265.18827775394	 0.1838	-53.68058679504	 0.1621	5921745296766457088	    0.2729	 0.1296	    3.979	 0.314	  -17.772	 0.263	0	 3.5386e+03	 1.1525e+01	16.8163	0.0035	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5363	265.1845073803070	-53.6662814112257	265.18453512539	 0.2208	-53.66636070234	 0.1730	5921751172302731520	    0.6432	 0.1789	    3.818	 0.497	  -18.416	 0.351	0	 2.8475e+03	 1.5155e+01	17.0522	0.0058	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5377	265.1726082293944	-53.6657487449952	265.17263303833	 0.2137	-53.66582106972	 0.1683	5921751172295993216	    0.3326	 0.1689	    3.414	 0.457	  -16.798	 0.314	0	 2.7130e+03	 2.0112e+01	17.1047	0.0080	 6.6728e+03	 1.0177e+03	15.7906	0.1656	 5.4778e+03	 1.5119e+02	15.4154	0.0300	 0.3752	       	     	       	       	       	      	
0.5382	265.1647261453000	-53.6695431048200	265.16472614530	 5.4913	-53.66954310482	 4.2676	5921748251704197504	          	       	         	      	         	      	0	 2.7890e+03	 1.6840e+01	17.0747	0.0066	 2.4712e+03	 2.2314e+02	16.8691	0.0980	 3.0883e+03	 1.3434e+02	16.0376	0.0472	 0.8315	       	     	       	       	       	      	
0.5386	265.1715601455361	-53.6824576776858	265.17158207824	 0.0638	-53.68253720991	 0.0530	5921745296766541952	    0.4587	 0.0521	    3.017	 0.109	  -18.472	 0.084	0	 1.7957e+04	 1.0597e+01	15.0528	0.0006	 1.1941e+04	 2.5721e+02	15.1588	0.0234	 1.7556e+04	 2.9095e+02	14.1509	0.0180	 1.0080	       	     	5143.45	       	       	      	
0.5390	265.1925557191300	-53.6756812043000	265.19255571913	15.2798	-53.67568120430	22.4556	5921751172297388032	          	       	         	      	         	      	0	 1.1762e+03	 7.3377e+00	18.0122	0.0068	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5408	265.1768064449460	-53.6832171450653	265.17682415427	 0.0462	-53.68329424465	 0.0441	5921745296766493312	    0.5005	 0.0551	    2.436	 0.077	  -17.907	 0.077	0	 3.8849e+04	 3.1462e+01	14.2149	0.0009	 2.0156e+04	 1.9500e+02	14.5904	0.0105	 3.4794e+04	 7.3464e+02	13.4082	0.0229	 1.1822	       	     	4920.00	       	       	  3.61	    6.888
0.5409	265.1917665777100	-53.6775426883800	265.19176657771	18.1404	-53.67754268838	15.7159	5921751172296033536	          	       	         	      	         	      	0	 1.3370e+03	 6.2270e+00	17.8731	0.0051	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5421	265.1630433011252	-53.6769890518026	265.16305701728	 0.0651	-53.67706369722	 0.0571	5921748251704142848	    0.5335	 0.0649	    1.887	 0.114	  -17.337	 0.110	0	 1.8210e+04	 3.5581e+01	15.0376	0.0021	 1.0053e+04	 9.6758e+01	15.3456	0.0104	 1.6796e+04	 2.6744e+02	14.1989	0.0173	 1.1467	       	     	5000.00	       	       	  2.23	    2.790
0.5439	265.1632772122838	-53.6709475668746	265.16329969861	 0.0704	-53.67102439521	 0.0570	5921748251723918720	    0.6514	 0.0608	    3.094	 0.138	  -17.844	 0.116	0	 1.3613e+04	 2.2895e+01	15.3535	0.0018	 1.4069e+04	 7.3960e+02	14.9807	0.0571	 1.8645e+04	 2.8654e+02	14.0855	0.0167	 0.8952	       	     	5095.63	       	       	      	
0.5443	265.1622810894600	-53.6738042925100	265.16228108946	 1.0278	-53.67380429251	 0.8365	5921748251723913344	          	       	         	      	         	      	1	 7.5530e+03	 1.1858e+02	15.9931	0.0170	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5451	265.1876235678820	-53.6811408704973	265.18758215366	 0.5854	-53.68117481981	 0.4751	5921745296766457216	    2.3143	 0.5915	   -5.697	 0.750	   -7.885	 0.722	0	 1.0007e+04	 1.2450e+02	15.6876	0.0135	 8.7787e+03	 1.9536e+02	15.4928	0.0242	 1.1785e+04	 5.6867e+02	14.5836	0.0524	 0.9092	       	     	5095.63	       	       	      	
0.5455	265.1654176570100	-53.6798427561500	265.16541765701	 0.9560	-53.67984275615	 0.9691	5921745296766610944	          	       	         	      	         	      	0	 2.9167e+03	 3.5655e+01	17.0261	0.0133	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5459	265.1661465554286	-53.6803058726891	265.16616883594	 0.2375	-53.68038638658	 0.2163	5921745296766611200	    0.2853	 0.2215	    3.065	 0.451	  -18.700	 0.443	0	 1.6128e+04	 5.6277e+01	15.1694	0.0038	 1.2037e+04	 4.1785e+02	15.1501	0.0377	 1.6724e+04	 4.8802e+02	14.2036	0.0317	 0.9465	       	     	5095.63	       	       	      	
0.5468	265.1634880090571	-53.6705265641400	265.16350415777	 0.1383	-53.67060483053	 0.1190	5921748251723918464	    0.3698	 0.1792	    2.222	 0.183	  -18.178	 0.195	0	 1.1215e+04	 4.6420e+01	15.5638	0.0045	 1.6327e+04	 5.0431e+01	14.8191	0.0034	 1.5807e+04	 9.5205e+02	14.2648	0.0654	 0.5543	       	     	5095.63	       	       	      	
0.5469	265.1739800968900	-53.6831544253300	265.17398009689	 4.2976	-53.68315442533	 5.1877	5921745296782125056	          	       	         	      	         	      	0	 4.4592e+03	 1.0378e+02	16.5652	0.0253	 8.8700e+03	 4.5499e+02	15.4816	0.0557	 1.2083e+04	 3.6925e+02	14.5564	0.0332	 0.9251	       	     	5095.63	       	       	      	
0.5474	265.1701429572713	-53.6662175798176	265.17017216296	 0.1441	-53.66629057621	 0.0983	5921751172296009728	    0.3550	 0.1116	    4.019	 0.213	  -16.954	 0.168	0	 3.6696e+03	 8.6971e+00	16.7768	0.0026	 4.9443e+03	 2.7262e+00	16.1161	0.0006	 5.4848e+03	 2.0936e+01	15.4140	0.0041	 0.7021	       	     	5095.63	       	       	      	
0.5477	265.1868387813600	-53.6669987864400	265.18683878136	27.5291	-53.66699878644	39.4678	5921751172295891840	          	       	         	      	         	      	0	 1.3289e+03	 8.7609e+00	17.8796	0.0072	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5479	265.1622168715199	-53.6750962510500	265.16221687152	 0.1699	-53.67509625105	 0.1959	5921748251719608832	          	       	         	      	         	      	0	 1.6557e+03	 5.2485e+00	17.6409	0.0034	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5483	265.1880533204500	-53.6809962381200	265.18805332045	 6.2029	-53.68099623812	 9.1771	5921745296766457344	          	       	         	      	         	      	0	 6.8274e+03	 1.2762e+01	16.1027	0.0020	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5484	265.1887017250509	-53.6679012543027	265.18872781428	 0.0778	-53.66797634750	 0.0861	5921751172295906048	    0.4293	 0.0590	    3.590	 0.149	  -17.441	 0.148	0	 1.7011e+04	 1.2844e+01	15.1115	0.0008	 9.6754e+03	 1.1595e+02	15.3872	0.0130	 1.5122e+04	 5.3337e+01	14.3129	0.0038	 1.0743	       	     	5076.00	       	       	  2.57	    3.962
0.5487	265.1841770360200	-53.6825576524600	265.18417703602	 5.3605	-53.68255765246	 4.1761	5921745296786347776	          	       	         	      	         	      	0	 1.9883e+03	 6.8173e+01	17.4422	0.0372	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5489	265.1744833500549	-53.6652462427028	265.17450905977	 0.7662	-53.66532377715	 0.6280	5921751172295943680	    1.8119	 0.8662	    3.538	 1.038	  -18.008	 1.053	0	 9.2566e+03	 1.0758e+02	15.7722	0.0126	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5496	265.1843608477967	-53.6659975586041	265.18439843203	 0.1490	-53.66607149361	 0.1481	5921751172295913088	   -0.3664	 0.1439	    5.172	 0.311	  -17.172	 0.276	0	 4.9238e+03	 1.7693e+01	16.4576	0.0039	 5.5186e+03	 2.0021e+02	15.9968	0.0394	 6.9791e+03	 9.7011e+01	15.1524	0.0151	 0.8444	       	     	5095.63	       	       	      	
0.5499	265.1623515129100	-53.6759324439000	265.16235151291	 0.9571	-53.67593244390	 0.9246	5921748251704155264	          	       	         	      	         	      	0	 1.4481e+03	 3.7150e+01	17.7864	0.0279	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5514	265.1928847084200	-53.6756231732474	265.19290355571	 0.1459	-53.67569630311	 0.1516	5921751172297388288	    0.6680	 0.1421	    2.593	 0.281	  -16.985	 0.272	0	 3.0751e+03	 1.0471e+01	16.9687	0.0037	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5514	265.1799548843900	-53.6833722850700	265.17995488439	 0.8327	-53.68337228507	 0.7220	5921745292477484672	          	       	         	      	         	      	0	 2.1310e+03	 1.4053e+01	17.3669	0.0072	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5523	265.1814104840379	-53.6652972808921	265.18143428263	 0.0944	-53.66537556020	 0.0910	5921751172295921792	    0.6113	 0.0910	    3.275	 0.197	  -18.181	 0.178	0	 3.2128e+03	 3.2111e+00	16.9212	0.0011	 2.2069e+03	 3.6966e+01	16.9919	0.0182	 2.7230e+03	 5.7615e+01	16.1743	0.0230	 0.8176	       	     	5286.90	       	       	      	
0.5528	265.1660440545300	-53.6681076977100	265.16604405453	 1.4323	-53.66810769771	 1.3663	5921754127219462528	          	       	         	      	         	      	0	 2.0472e+03	 3.1122e+01	17.4104	0.0165	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5532	265.1626647935300	-53.6716414371500	265.16266479353	 0.5787	-53.67164143715	 0.2815	5921748251719605760	          	       	         	      	         	      	0	 2.7108e+03	 7.7618e+00	17.1056	0.0031	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5533	265.1922403236309	-53.6711731392769	265.19226743964	 0.4210	-53.67124653178	 0.3848	5921751172295934720	    1.6649	 0.3930	    3.731	 0.795	  -17.046	 0.796	1	 4.5491e+03	 2.2381e+01	16.5435	0.0053	 3.2283e+03	 8.2652e+01	16.5790	0.0278	 4.6662e+03	 4.3968e+01	15.5895	0.0102	 0.9894	       	     	5143.45	       	       	      	
0.5543	265.1685037839300	-53.6667752377700	265.16850378393	 3.3266	-53.66677523777	 5.4683	5921751172281957632	          	       	         	      	         	      	0	 1.9177e+03	 2.6057e+01	17.4814	0.0148	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5546	265.1931473915190	-53.6743815336672	265.19317331759	 0.1046	-53.67445407367	 0.1329	5921751167992765184	    0.4836	 0.0813	    3.567	 0.206	  -16.848	 0.233	0	 7.3856e+04	 7.0855e+01	13.5174	0.0010	 5.3123e+04	 2.7832e+02	13.5382	0.0057	 3.9564e+04	 1.9466e+02	13.2687	0.0053	 0.2695	       	     	9084.00	       	       	      	
0.5559	265.1748692329200	-53.6834173937300	265.17486923292	 0.1795	-53.68341739373	 0.1467	5921745296766517632	          	       	         	      	         	      	0	 3.4927e+03	 1.5096e+01	16.8305	0.0047	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5561	265.1862060955093	-53.6664963151764	265.18623043980	 0.1031	-53.66657153754	 0.1005	5921751172295907712	    0.2355	 0.1024	    3.350	 0.200	  -17.471	 0.206	0	 3.2381e+03	 5.5225e+00	16.9126	0.0019	 4.1635e+03	 2.5126e+02	16.3027	0.0655	 4.1277e+03	 1.6465e+02	15.7226	0.0433	 0.5801	       	     	5095.63	       	       	      	
0.5565	265.1899859439869	-53.6685839274054	265.19000994792	 0.0975	-53.66865892588	 0.0849	5921751167992759424	    0.7107	 0.0818	    3.303	 0.168	  -17.419	 0.149	0	 6.8535e+04	 2.6527e+02	13.5986	0.0042	 5.1620e+04	 1.6994e+02	13.5694	0.0036	 3.9631e+04	 1.4572e+02	13.2668	0.0040	 0.3025	       	     	7381.75	       	       	  1.41	    5.325
0.5565	265.1629507531138	-53.6775848450890	265.16298684303	 0.4920	-53.67766653440	 0.4452	5921748251718329984	    0.3618	 0.3327	    4.965	 1.008	  -18.973	 0.898	0	 1.2546e+03	 5.3694e+00	17.9421	0.0046	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5570	265.1918928715276	-53.6704708915980	265.19190735593	 0.0860	-53.67053972021	 0.0882	5921751167992763264	    0.6174	 0.0849	    1.993	 0.158	  -15.986	 0.154	0	 7.6515e+03	 8.4302e+00	15.9790	0.0012	 5.0019e+03	 7.4950e+01	16.1036	0.0163	 6.5954e+03	 8.2778e+01	15.2138	0.0136	 0.8897	       	     	5286.90	       	       	      	
0.5573	265.1687796533300	-53.6666000643900	265.16877965333	 0.3515	-53.66660006439	 0.2613	5921751167992731776	          	       	         	      	         	      	0	 2.9404e+03	 7.1736e+01	17.0173	0.0265	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5585	265.1618714010800	-53.6739406348100	265.16187140108	 0.8153	-53.67394063481	 0.9205	5921748251704162176	          	       	         	      	         	      	0	 4.4305e+03	 1.7947e+01	16.5722	0.0044	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5588	265.1727760829300	-53.6831604586400	265.17277608293	 9.5984	-53.68316045864	 7.9685	5921745296780833920	          	       	         	      	         	      	0	 2.9693e+03	 3.1083e+01	17.0067	0.0114	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5594	265.1681230155933	-53.6816862173206	265.16814861903	 0.0894	-53.68175904149	 0.0861	5921745292477469440	    0.1955	 0.0746	    3.522	 0.161	  -16.914	 0.133	0	 6.9298e+04	 5.3463e+01	13.5866	0.0008	 4.8688e+04	 2.0705e+02	13.6328	0.0046	 3.5919e+04	 1.6168e+02	13.3736	0.0049	 0.2592	       	     	9189.00	       	       	      	
0.5603	265.1705401755700	-53.6659329409800	265.17054017557	 0.2332	-53.66593294098	 0.1973	5921751172296009600	          	       	         	      	         	      	0	 1.6958e+03	 1.3308e+01	17.6149	0.0085	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5628	265.1801585124200	-53.6835455403400	265.18015851242	 0.7825	-53.68354554034	 0.8233	5921745296766482688	          	       	         	      	         	      	0	 5.1147e+03	 3.0040e+01	16.4163	0.0064	 4.8768e+03	 1.4538e+02	16.1311	0.0324	 7.3044e+03	 1.8007e+02	15.1030	0.0268	 1.0281	       	     	5095.63	       	       	      	
0.5629	265.1707826774827	-53.6826991522669	265.17080468301	 0.2694	-53.68277344463	 0.3474	5921745296787508352	    0.4908	 0.2005	    3.027	 0.498	  -17.255	 0.579	0	 2.7557e+03	 7.6021e+00	17.0878	0.0030	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5634	265.1929594658900	-53.6720363794400	265.19295946589	 0.4663	-53.67203637944	 0.6816	5921751172297380736	          	       	         	      	         	      	0	 1.6316e+03	 4.2504e+00	17.6569	0.0028	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5639	265.1828996675885	-53.6653680311092	265.18292660546	 0.1196	-53.66544489389	 0.1214	5921751172302846592	    0.2514	 0.1096	    3.707	 0.240	  -17.852	 0.217	0	 2.8806e+03	 3.7147e+00	17.0396	0.0014	 1.7839e+03	 4.2705e+01	17.2230	0.0260	 2.6196e+03	 5.3999e+01	16.2163	0.0224	 1.0067	       	     	5171.63	       	       	      	
0.5650	265.1653187501700	-53.6802909669300	265.16531875017	 0.0821	-53.68029096693	 0.0660	5921745292477466496	          	       	         	      	         	      	0	 1.0519e+04	 2.6221e+01	15.6335	0.0027	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5655	265.1914860129400	-53.6697192535900	265.19148601294	 3.8612	-53.66971925359	 0.8998	5921751172295919616	          	       	         	      	         	      	0	 1.2927e+03	 1.5801e+01	17.9096	0.0133	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5662	265.1807714865200	-53.6835350379300	265.18077148652	 4.5694	-53.68353503793	 7.6882	5921745296786349056	          	       	         	      	         	      	0	 1.3192e+03	 1.3398e+01	17.8876	0.0110	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5663	265.1922014804306	-53.6779299258071	265.19222224048	 0.0719	-53.67800483817	 0.0672	5921751167992763648	    0.4657	 0.0712	    2.856	 0.175	  -17.399	 0.124	0	 9.9035e+03	 8.6712e+00	15.6989	0.0010	 6.5543e+03	 2.0837e+02	15.8101	0.0345	 8.4318e+03	 1.4954e+02	14.9471	0.0193	 0.8630	       	     	5286.90	       	       	      	
0.5669	265.1715675944141	-53.6829661230772	265.17159351123	 0.3169	-53.68305079183	 0.3078	5921745296780834944	    0.9346	 0.3019	    3.565	 0.573	  -19.665	 0.529	0	 4.3004e+03	 2.8613e+01	16.6046	0.0072	 4.7165e+03	 6.6708e+02	16.1673	0.1536	 5.9054e+03	 2.6904e+02	15.3338	0.0495	 0.8335	       	     	5095.63	       	       	      	
0.5679	265.1617506741810	-53.6756464330277	265.16177922497	 0.1562	-53.67572694692	 0.1500	5921748247414960256	    0.1858	 0.1884	    3.928	 0.270	  -18.700	 0.269	0	 5.2810e+03	 2.1930e+01	16.3816	0.0045	 4.0609e+03	 2.1393e+02	16.3298	0.0572	 5.7379e+03	 1.9155e+02	15.3650	0.0362	 0.9648	       	     	5095.63	       	       	      	
0.5687	265.1663154370037	-53.6809808015675	265.16636504374	 0.2987	-53.68105525755	 0.2430	5921745296766611456	    0.3571	 0.2609	    6.824	 0.485	  -17.293	 0.409	0	 1.6646e+03	 7.1644e+00	17.6351	0.0047	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5689	265.1616013226152	-53.6743624435862	265.16156712522	 0.4335	-53.67439804623	 0.4144	5921748251704162560	    5.1655	 0.5291	   -4.705	 0.793	   -8.269	 0.728	0	 1.2741e+04	 9.7231e+01	15.4254	0.0083	 8.3097e+03	 1.0654e+02	15.5524	0.0139	 1.2831e+04	 1.9296e+02	14.4912	0.0163	 1.0612	       	     	5143.45	       	       	      	
0.5693	265.1935022494362	-53.6751085516553	265.19352033331	 0.3985	-53.67517390999	 0.3599	5921751172295991168	    0.5237	 0.4622	    2.488	 0.625	  -15.180	 0.613	0	 4.2904e+03	 1.4886e+01	16.6071	0.0038	 5.2796e+03	 7.7637e+02	16.0449	0.1597	 6.3914e+03	 8.9133e+02	15.2479	0.1514	 0.7969	       	     	5095.63	       	       	      	
0.5705	265.1699936984400	-53.6659090437400	265.16999369844	 1.4381	-53.66590904374	 1.8266	5921751172296009856	          	       	         	      	         	      	0	 2.1720e+03	 2.0268e+01	17.3462	0.0101	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5710	265.1628579686700	-53.6704733951600	265.16285796867	 2.0019	-53.67047339516	 1.9082	5921748251704195328	          	       	         	      	         	      	0	 5.1153e+03	 3.9137e+01	16.4162	0.0083	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5717	265.1918979163600	-53.6699585472400	265.19189791636	 0.5784	-53.66995854724	 1.0644	5921751172295919488	          	       	         	      	         	      	0	 1.4709e+03	 9.6792e+00	17.7694	0.0071	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5727	265.1615182734600	-53.6734856467200	265.16151827346	 1.2174	-53.67348564672	 3.5634	5921748251704183168	          	       	         	      	         	      	0	 1.9606e+03	 1.1139e+01	17.4574	0.0062	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5728	265.1758608465800	-53.6837832503800	265.17586084658	 1.4860	-53.68378325038	 1.6628	5921745296782129536	          	       	         	      	         	      	0	 2.2454e+03	 1.5501e+01	17.3101	0.0075	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5734	265.1893240615600	-53.6677451850900	265.18932406156	15.9229	-53.66774518509	23.3602	5921751172295905792	          	       	         	      	         	      	0	 1.1080e+03	 4.9983e+00	18.0770	0.0049	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5739	265.1617540912200	-53.6762153380300	265.16175409122	 6.8207	-53.67621533803	 9.0964	5921748251704155008	          	       	         	      	         	      	0	 1.1981e+03	 1.6324e+01	17.9922	0.0148	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.5747	265.1614550924022	-53.6750872935490	265.16147028343	 0.0712	-53.67516297230	 0.0643	5921748251704171136	    0.4711	 0.0746	    2.090	 0.125	  -17.577	 0.116	0	 5.8599e+03	 1.0455e+01	16.2686	0.0019	 6.3291e+03	 3.9858e+02	15.8480	0.0684	 6.9307e+03	 3.0886e+01	15.1600	0.0048	 0.6881	       	     	5095.63	       	       	      	
